"","bill_length_mm","bill_depth_mm","flipper_length_mm"
"1",39.1,18.7,181
"2",39.5,17.4,186
"3",40.3,18,195
"4",36.7,19.3,193
"5",39.3,20.6,190
"6",38.9,17.8,181
"7",39.2,19.6,195
"8",41.1,17.6,182
"9",38.6,21.2,191
"10",34.6,21.1,198
"11",36.6,17.8,185
"12",38.7,19,195
"13",42.5,20.7,197
"14",34.4,18.4,184
"15",46,21.5,194
"16",37.8,18.3,174
"17",37.7,18.7,180
"18",35.9,19.2,189
"19",38.2,18.1,185
"20",38.8,17.2,180
"21",35.3,18.9,187
"22",40.6,18.6,183
"23",40.5,17.9,187
"24",37.9,18.6,172
"25",40.5,18.9,180
"26",39.5,16.7,178
"27",37.2,18.1,178
"28",39.5,17.8,188
"29",40.9,18.9,184
"30",36.4,17,195
"31",39.2,21.1,196
"32",38.8,20,190
"33",42.2,18.5,180
"34",37.6,19.3,181
"35",39.8,19.1,184
"36",36.5,18,182
"37",40.8,18.4,195
"38",36,18.5,186
"39",44.1,19.7,196
"40",37,16.9,185
"41",39.6,18.8,190
"42",41.1,19,182
"43",36,17.9,190
"44",42.3,21.2,191
"45",39.6,17.7,186
"46",40.1,18.9,188
"47",35,17.9,190
"48",42,19.5,200
"49",34.5,18.1,187
"50",41.4,18.6,191
"51",39,17.5,186
"52",40.6,18.8,193
"53",36.5,16.6,181
"54",37.6,19.1,194
"55",35.7,16.9,185
"56",41.3,21.1,195
"57",37.6,17,185
"58",41.1,18.2,192
"59",36.4,17.1,184
"60",41.6,18,192
"61",35.5,16.2,195
"62",41.1,19.1,188
"63",35.9,16.6,190
"64",41.8,19.4,198
"65",33.5,19,190
"66",39.7,18.4,190
"67",39.6,17.2,196
"68",45.8,18.9,197
"69",35.5,17.5,190
"70",42.8,18.5,195
"71",40.9,16.8,191
"72",37.2,19.4,184
"73",36.2,16.1,187
"74",42.1,19.1,195
"75",34.6,17.2,189
"76",42.9,17.6,196
"77",36.7,18.8,187
"78",35.1,19.4,193
"79",37.3,17.8,191
"80",41.3,20.3,194
"81",36.3,19.5,190
"82",36.9,18.6,189
"83",38.3,19.2,189
"84",38.9,18.8,190
"85",35.7,18,202
"86",41.1,18.1,205
"87",34,17.1,185
"88",39.6,18.1,186
"89",36.2,17.3,187
"90",40.8,18.9,208
"91",38.1,18.6,190
"92",40.3,18.5,196
"93",33.1,16.1,178
"94",43.2,18.5,192
"95",35,17.9,192
"96",41,20,203
"97",37.7,16,183
"98",37.8,20,190
"99",37.9,18.6,193
"100",39.7,18.9,184
"101",38.6,17.2,199
"102",38.2,20,190
"103",38.1,17,181
"104",43.2,19,197
"105",38.1,16.5,198
"106",45.6,20.3,191
"107",39.7,17.7,193
"108",42.2,19.5,197
"109",39.6,20.7,191
"110",42.7,18.3,196
"111",38.6,17,188
"112",37.3,20.5,199
"113",35.7,17,189
"114",41.1,18.6,189
"115",36.2,17.2,187
